time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,5.57,2.83,0.0
20230101:0110,0.0,0.0,0.0,5.25,2.76,0.0
20230101:0210,0.0,0.0,0.0,4.74,2.69,0.0
20230101:0310,0.0,0.0,0.0,4.34,2.69,0.0
20230101:0410,0.0,0.0,0.0,3.95,2.55,0.0
20230101:0510,0.0,0.0,0.0,3.39,2.21,0.0
20230101:0610,0.0,0.0,0.0,2.67,1.86,0.0
20230101:0710,48.27,79.18,2.99,2.59,1.45,0.0
20230101:0810,203.5,248.79,10.09,2.96,1.17,0.0
20230101:0910,417.48,499.24,15.46,5.87,0.62,0.0
20230101:1010,476.24,577.58,18.68,8.35,0.34,0.0
20230101:1110,480.88,589.75,19.42,9.72,0.07,0.0
20230101:1210,440.47,541.29,17.6,10.51,0.07,0.0
20230101:1310,336.12,414.83,13.41,10.61,0.21,0.0
20230101:1410,182.62,240.18,7.25,10.14,0.34,0.0
20230101:1510,0.0,0.0,0.0,9.25,0.14,0.0
20230101:1610,0.0,0.0,0.0,8.35,0.41,0.0
20230101:1710,0.0,0.0,0.0,6.68,1.1,0.0
20230101:1810,0.0,0.0,0.0,5.61,1.31,0.0
20230101:1910,0.0,0.0,0.0,6.69,1.17,0.0
20230101:2010,0.0,0.0,0.0,5.66,1.31,0.0
20230101:2110,0.0,0.0,0.0,4.34,1.59,0.0
20230101:2210,0.0,0.0,0.0,3.31,1.79,0.0
20230101:2310,0.0,0.0,0.0,3.0,1.79,0.0
20230102:0010,0.0,0.0,0.0,2.69,1.59,0.0
20230102:0110,0.0,0.0,0.0,2.71,1.45,0.0
20230102:0210,0.0,0.0,0.0,2.32,1.38,0.0
20230102:0310,0.0,0.0,0.0,1.74,1.31,0.0
20230102:0410,0.0,0.0,0.0,1.64,1.17,0.0
20230102:0510,0.0,0.0,0.0,1.91,0.9,0.0
20230102:0610,0.0,0.0,0.0,1.23,1.03,0.0
20230102:0710,14.27,30.68,3.0,1.25,0.9,0.0
20230102:0810,166.74,205.78,10.12,1.73,0.76,0.0
20230102:0910,188.38,229.23,15.51,4.24,0.34,0.0
20230102:1010,274.77,328.8,18.75,6.15,0.48,0.0
20230102:1110,150.83,189.64,19.51,7.73,0.55,0.0
20230102:1210,139.35,177.41,17.7,8.77,0.55,0.0
20230102:1310,160.12,202.17,13.53,9.17,0.55,0.0
20230102:1410,55.69,82.69,7.37,8.76,0.34,0.0
20230102:1510,0.0,0.0,0.0,7.58,0.41,0.0
20230102:1610,0.0,0.0,0.0,5.51,1.03,0.0
20230102:1710,0.0,0.0,0.0,4.2,1.52,0.0
20230102:1810,0.0,0.0,0.0,3.55,1.79,0.0
20230102:1910,0.0,0.0,0.0,2.63,1.66,0.0
20230102:2010,0.0,0.0,0.0,2.01,1.52,0.0
20230102:2110,0.0,0.0,0.0,1.57,1.52,0.0
20230102:2210,0.0,0.0,0.0,1.0,1.38,0.0
20230102:2310,0.0,0.0,0.0,0.67,1.52,0.0
20230103:0010,0.0,0.0,0.0,0.32,1.59,0.0
20230103:0110,0.0,0.0,0.0,-0.03,1.59,0.0
20230103:0210,0.0,0.0,0.0,-0.21,1.59,0.0
20230103:0310,0.0,0.0,0.0,-0.4,1.59,0.0
20230103:0410,0.0,0.0,0.0,-0.61,1.52,0.0
20230103:0510,0.0,0.0,0.0,-0.6,1.52,0.0
20230103:0610,0.0,0.0,0.0,-0.49,1.59,0.0
20230103:0710,0.13,5.85,3.02,0.81,1.45,0.0
20230103:0810,18.47,34.15,10.15,2.21,1.17,0.0
20230103:0910,42.77,64.39,15.57,4.0,1.03,0.0
20230103:1010,62.7,88.79,18.83,7.04,0.83,0.0
20230103:1110,32.37,52.69,19.6,8.03,0.97,0.0
20230103:1210,44.24,67.32,17.82,8.53,0.97,0.0
20230103:1310,18.59,35.12,13.66,8.53,0.9,0.0
20230103:1410,16.45,32.2,7.5,8.16,0.9,0.0
20230103:1510,0.0,0.0,0.0,7.29,1.1,0.0
20230103:1610,0.0,0.0,0.0,6.54,1.38,0.0
20230103:1710,0.0,0.0,0.0,6.12,1.45,0.0
20230103:1810,0.0,0.0,0.0,5.78,1.45,0.0
20230103:1910,0.0,0.0,0.0,5.39,1.24,0.0
20230103:2010,0.0,0.0,0.0,5.17,1.17,0.0
20230103:2110,0.0,0.0,0.0,4.98,1.17,0.0
20230103:2210,0.0,0.0,0.0,4.55,1.38,0.0
20230103:2310,0.0,0.0,0.0,4.03,1.52,0.0
20230104:0010,0.0,0.0,0.0,3.1,1.66,0.0
20230104:0110,0.0,0.0,0.0,2.62,1.52,0.0
20230104:0210,0.0,0.0,0.0,2.13,1.45,0.0
20230104:0310,0.0,0.0,0.0,1.66,1.45,0.0
20230104:0410,0.0,0.0,0.0,0.81,1.59,0.0
20230104:0510,0.0,0.0,0.0,0.38,1.24,0.0
20230104:0610,0.0,0.0,0.0,0.63,1.17,0.0
20230104:0710,52.49,84.14,3.04,0.82,1.59,0.0
20230104:0810,263.61,317.57,10.2,2.43,1.45,0.0
20230104:0910,415.66,489.79,15.63,5.16,1.72,0.0
20230104:1010,323.98,381.58,18.91,6.78,2.55,0.0
20230104:1110,506.12,593.92,19.71,7.84,3.31,0.0
20230104:1210,455.08,535.05,17.94,8.5,3.66,0.0
20230104:1310,336.06,401.42,13.79,8.74,3.45,0.0
20230104:1410,197.87,253.55,7.64,8.41,2.62,0.0
20230104:1510,0.0,0.0,0.0,7.73,2.55,0.0
20230104:1610,0.0,0.0,0.0,6.65,2.41,0.0
20230104:1710,0.0,0.0,0.0,6.24,2.34,0.0
20230104:1810,0.0,0.0,0.0,6.19,2.34,0.0
20230104:1910,0.0,0.0,0.0,5.85,2.62,0.0
20230104:2010,0.0,0.0,0.0,5.7,2.55,0.0
20230104:2110,0.0,0.0,0.0,5.22,2.48,0.0
20230104:2210,0.0,0.0,0.0,5.24,2.21,0.0
20230104:2310,0.0,0.0,0.0,5.04,2.0,0.0
20230105:0010,0.0,0.0,0.0,4.81,1.86,0.0
20230105:0110,0.0,0.0,0.0,4.6,1.52,0.0
20230105:0210,0.0,0.0,0.0,4.61,1.31,0.0
20230105:0310,0.0,0.0,0.0,4.43,1.31,0.0
20230105:0410,0.0,0.0,0.0,4.29,1.31,0.0
20230105:0510,0.0,0.0,0.0,4.1,1.66,0.0
20230105:0610,0.0,0.0,0.0,4.0,1.93,0.0
20230105:0710,43.28,72.94,3.08,4.76,1.66,0.0
20230105:0810,83.8,113.22,10.25,5.87,1.66,0.0
20230105:0910,63.03,89.13,15.7,7.28,1.52,0.0
20230105:1010,308.99,368.73,19.0,8.51,1.86,0.0
20230105:1110,73.46,102.44,19.82,10.28,2.14,0.0
20230105:1210,34.19,55.61,18.06,11.38,1.93,0.0
20230105:1310,38.21,60.49,13.92,10.99,2.62,0.0
20230105:1410,1.31,8.78,7.79,10.37,2.76,0.0
20230105:1510,0.0,0.0,0.0,9.38,2.28,0.0
20230105:1610,0.0,0.0,0.0,8.5,1.93,0.0
20230105:1710,0.0,0.0,0.0,7.51,2.14,0.0
20230105:1810,0.0,0.0,0.0,7.09,2.34,0.0
20230105:1910,0.0,0.0,0.0,7.35,2.48,0.0
20230105:2010,0.0,0.0,0.0,7.04,2.62,0.0
20230105:2110,0.0,0.0,0.0,6.65,2.55,0.0
20230105:2210,0.0,0.0,0.0,6.43,2.48,0.0
20230105:2310,0.0,0.0,0.0,6.22,2.34,0.0
20230106:0010,0.0,0.0,0.0,5.73,2.34,0.0
20230106:0110,0.0,0.0,0.0,5.46,2.14,0.0
20230106:0210,0.0,0.0,0.0,4.86,1.93,0.0
20230106:0310,0.0,0.0,0.0,4.45,1.59,0.0
20230106:0410,0.0,0.0,0.0,3.96,1.45,0.0
20230106:0510,0.0,0.0,0.0,3.47,1.38,0.0
20230106:0610,0.0,0.0,0.0,2.51,1.52,0.0
20230106:0710,2.4,10.73,3.12,3.5,1.31,0.0
20230106:0810,14.58,29.27,10.3,4.7,1.17,0.0
20230106:0910,158.44,196.18,15.78,5.77,1.31,0.0
20230106:1010,353.27,418.35,19.1,6.77,1.38,0.0
20230106:1110,420.49,498.82,19.94,7.33,1.38,0.0
20230106:1210,438.99,523.65,18.2,8.0,1.38,0.0
20230106:1310,313.87,379.73,14.07,8.9,1.38,0.0
20230106:1410,144.15,189.32,7.94,8.98,1.24,0.0
20230106:1510,0.0,0.0,0.0,7.86,1.72,0.0
20230106:1610,0.0,0.0,0.0,6.26,1.93,0.0
20230106:1710,0.0,0.0,0.0,5.1,1.93,0.0
20230106:1810,0.0,0.0,0.0,3.98,1.86,0.0
20230106:1910,0.0,0.0,0.0,3.6,1.66,0.0
20230106:2010,0.0,0.0,0.0,2.77,1.72,0.0
20230106:2110,0.0,0.0,0.0,2.33,1.72,0.0
20230106:2210,0.0,0.0,0.0,1.89,1.72,0.0
20230106:2310,0.0,0.0,0.0,1.48,1.72,0.0
20230107:0010,0.0,0.0,0.0,1.03,1.66,0.0
20230107:0110,0.0,0.0,0.0,0.83,1.59,0.0
20230107:0210,0.0,0.0,0.0,0.59,1.59,0.0
20230107:0310,0.0,0.0,0.0,0.56,1.59,0.0
20230107:0410,0.0,0.0,0.0,0.33,1.66,0.0
20230107:0510,0.0,0.0,0.0,0.23,1.59,0.0
20230107:0610,0.0,0.0,0.0,-0.02,1.66,0.0
20230107:0710,46.88,76.43,3.16,0.07,1.72,0.0
20230107:0810,195.08,237.46,10.37,1.74,1.38,0.0
20230107:0910,265.58,317.0,15.87,5.55,1.17,0.0
20230107:1010,150.23,188.6,19.21,8.08,1.59,0.0
20230107:1110,375.75,445.68,20.07,8.87,2.34,0.0
20230107:1210,297.93,355.77,18.34,8.95,2.48,0.0
20230107:1310,348.13,417.51,14.22,8.84,2.41,0.0
20230107:1410,199.39,254.72,8.09,8.3,2.0,0.0
20230107:1510,0.0,0.0,0.0,6.86,2.0,0.0
20230107:1610,0.0,0.0,0.0,5.32,2.0,0.0
20230107:1710,0.0,0.0,0.0,4.36,2.0,0.0
20230107:1810,0.0,0.0,0.0,3.33,1.86,0.0
20230107:1910,0.0,0.0,0.0,2.81,1.59,0.0
20230107:2010,0.0,0.0,0.0,1.81,1.45,0.0
20230107:2110,0.0,0.0,0.0,0.69,1.45,0.0
20230107:2210,0.0,0.0,0.0,-0.27,1.31,0.0
20230107:2310,0.0,0.0,0.0,-0.37,1.17,0.0
20230108:0010,0.0,0.0,0.0,0.28,0.97,0.0
20230108:0110,0.0,0.0,0.0,0.43,1.03,0.0
20230108:0210,0.0,0.0,0.0,0.43,0.83,0.0
20230108:0310,0.0,0.0,0.0,0.64,0.62,0.0
20230108:0410,0.0,0.0,0.0,0.8,0.41,0.0
20230108:0510,0.0,0.0,0.0,0.75,0.41,0.0
20230108:0610,0.0,0.0,0.0,0.72,0.83,0.0
20230108:0710,0.0,4.88,3.22,0.81,0.83,0.0
20230108:0810,95.18,124.08,10.44,1.25,1.1,0.0
20230108:0910,105.15,134.28,15.96,1.69,1.31,0.0
20230108:1010,182.01,218.98,19.32,2.61,1.72,0.0
20230108:1110,107.63,138.3,20.2,4.14,2.0,0.0
20230108:1210,77.85,105.58,18.49,5.94,2.48,0.0
20230108:1310,89.11,118.98,14.38,7.18,2.21,0.0
20230108:1410,50.77,75.54,8.25,7.23,1.59,0.0
20230108:1510,0.0,0.0,0.0,6.48,1.52,0.0
20230108:1610,0.0,0.0,0.0,5.52,1.93,0.0
